GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,RESIDENCE_STRATUM,SOCIAL_SUPPORT,HOUSEHOLD_SIZE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,REFRIGERATOR,PHONE,MOBILE,HOUSEHOLD_INCOME,JOB,PUBLIC_SCHOOL,SCHOOL_TYPE,QR_PRO,ENG_PRO
M,3.0,3.0,Executive,Technical or professional level employee,5.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,98,97
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,2.0,Level 2,5.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL,95,73
M,2.0,2.0,Independent,Auxiliary or Administrative,2.0,Level 2,4.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL,97,91
M,2.0,2.0,Independent,Home,2.0,None,5.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1.0,0.0,yes,TECHNICAL/ACADEMIC,33,38
F,3.0,3.0,Entrepreneur ,Entrepreneur ,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,100,96
F,3.0,3.0,Technical or professional level employee,Technical or professional level employee,4.0,Level 3,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,yes,ACADEMIC,49,30
F,2.0,2.0,Independent,Home,2.0,Level 1,3.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,36,66
M,2.0,3.0,Independent,Independent professional,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,98,83
M,3.0,3.0,Technical or professional level employee,Independent professional,5.0,,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,7,79
M,3.0,4.0,Entrepreneur ,Technical or professional level employee,3.0,None,3.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,91,67
F,2.0,3.0,Independent,Independent professional,2.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,no,TECHNICAL,57,58
F,0.5,1.0,Independent,Home,2.0,Level 2,8.0,No,No,No,No,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,61,23
F,2.0,2.0,Home,Auxiliary or Administrative,2.0,Level 2,5.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,no,TECHNICAL/ACADEMIC,88,17
M,3.0,3.0,Retired,Other occupation,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,99,84
F,1.0,3.0,Independent,Home,2.0,Level 2,4.0,No,No,No,No,No,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,28,65
F,3.0,2.5,Entrepreneur ,Home,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,95,91
F,3.0,4.0,Technical or professional level employee,Technical or professional level employee,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,88,79
M,4.0,3.0,Technical or professional level employee,Independent,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL/ACADEMIC,64,62
F,4.0,4.0,Other occupation,Executive,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,100,91
F,4.0,4.0,Technical or professional level employee,Technical or professional level employee,2.0,Level 2,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,99,89
M,1.0,2.0,Retired,Home,2.0,None,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.0,0.0,no,ACADEMIC,27,74
M,2.5,2.0,Independent,Home,3.0,None,3.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,91,32
F,1.0,1.0,Independent,Home,2.0,Level 2,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,45,51
M,3.0,2.0,Technical or professional level employee,Independent,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,61,81
M,3.0,4.0,Technical or professional level employee,Technical or professional level employee,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,100,76
M,2.0,1.5,Other occupation,Independent,1.0,Level 1,4.0,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,76,3
M,,3.0,Other occupation,Auxiliary or Administrative,3.0,Level 2,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2.0,0.0,no,TECHNICAL/ACADEMIC,56,62
M,0.5,4.0,Other occupation,Executive,3.0,None,5.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,98,92
M,3.0,3.0,Independent,Independent,1.0,Level 1,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,85,37
M,2.0,4.0,Operator,Other occupation,1.0,Level 1,2.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,ACADEMIC,95,62
M,2.5,2.0,Operator,Home,2.0,Level 2,4.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL,100,61
M,3.0,3.0,Independent professional,Other occupation,3.0,Level 3,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,80,47
M,3.0,3.0,Independent professional,Executive,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,96,83
M,2.0,3.0,Entrepreneur ,Home,3.0,Level 2,3.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,no,ACADEMIC,80,8
F,3.0,3.0,Technical or professional level employee,Auxiliary or Administrative,3.0,None,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,8,12
F,3.0,2.0,Independent,Independent,2.0,Level 2,5.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,ACADEMIC,77,50
M,2.0,2.0,Home,Home,4.0,None,6.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,88,69
F,2.0,2.0,Other occupation,Home,2.0,Level 2,4.0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,88,65
M,3.0,3.0,Operator,Executive,3.0,None,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,no,TECHNICAL,83,72
M,0.5,1.5,Operator,Home,2.0,Level 2,3.0,No,No,No,No,Yes,No,No,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,35,8
F,2.0,2.0,Auxiliary or Administrative,Home,2.0,Level 2,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,98,74
F,1.0,1.0,Independent,Home,1.0,Level 1,3.0,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,2.0,0.0,no,TECHNICAL,1,29
M,2.5,2.5,Auxiliary or Administrative,Auxiliary or Administrative,3.0,None,6.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,no,ACADEMIC,87,51
M,2.0,2.5,Technical or professional level employee,Technical or professional level employee,2.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,4.0,0.0,no,ACADEMIC,95,57
F,3.0,3.0,Technical or professional level employee,Independent professional,3.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,63,29
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,None,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,4.0,0.0,yes,TECHNICAL,99,80
F,1.0,1.5,Operator,Home,2.0,Level 2,7.0,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,2.0,0.0,no,TECHNICAL/ACADEMIC,94,81
M,0.5,2.0,Small entrepreneur ,Small entrepreneur ,2.0,Level 2,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,no,TECHNICAL/ACADEMIC,99,64
M,2.0,3.0,Independent professional,Independent professional,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,99,88
M,0.5,0.5,Independent,Independent,2.0,Level 2,3.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,20,43
M,3.0,3.0,Executive,Home,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,100,96
F,4.0,2.0,Auxiliary or Administrative,Home,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.0,0.0,yes,TECHNICAL/ACADEMIC,53,68
F,1.0,1.5,Independent,Other occupation,2.0,,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,28,63
M,3.0,2.5,Independent professional,Auxiliary or Administrative,3.0,None,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,87,43
M,1.0,1.0,Retired,Home,2.0,Level 2,3.0,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,2.0,0.0,yes,ACADEMIC,59,4
M,3.0,3.0,Technical or professional level employee,Home,3.0,None,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.0,0.0,no,ACADEMIC,90,70
F,2.0,2.5,Executive,Auxiliary or Administrative,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,84,81
F,2.0,3.0,Other occupation,Technical or professional level employee,2.0,Level 1,3.0,No,No,Yes,No,No,No,No,Yes,No,No,2.0,0.0,yes,TECHNICAL,100,84
M,3.0,2.0,Technical or professional level employee,Home,3.0,None,3.0,No,Yes,No,No,No,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,62,4
M,3.0,3.0,Entrepreneur ,Entrepreneur ,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,100,100
F,2.0,3.0,Other occupation,Auxiliary or Administrative,4.0,None,3.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,61,43
M,4.0,3.0,Independent professional,Independent professional,2.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,100,86
M,3.0,3.0,Independent,Home,3.0,None,5.0,No,Yes,Yes,No,No,No,No,Yes,Yes,No,2.0,0.0,no,TECHNICAL,84,2
F,1.5,1.5,Independent,Home,1.0,Level 1,12.0,No,No,No,No,No,No,No,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,84,64
M,3.0,3.0,Independent,Executive,3.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,1.0,no,TECHNICAL/ACADEMIC,77,73
M,1.5,2.0,Operator,Small entrepreneur ,2.0,Level 2,5.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,3.0,0.0,yes,ACADEMIC,30,34
F,1.5,2.0,Small entrepreneur ,Independent,3.0,None,3.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,62,85
F,3.0,2.0,Independent,Home,2.0,Level 2,7.0,No,Yes,No,No,No,No,No,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,71,27
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,None,3.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,90,87
M,2.0,2.0,Auxiliary or Administrative,Home,2.0,Level 1,4.0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,2.0,1.0,yes,TECHNICAL,44,5
F,1.5,2.0,Operator,Home,2.0,Level 2,4.0,No,No,No,No,No,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,51,62
M,2.5,3.0,Independent professional,Home,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,93,98
M,2.0,1.0,Operator,Retired,2.0,None,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,76,54
F,4.0,3.0,Executive,Auxiliary or Administrative,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL/ACADEMIC,100,83
M,4.0,4.0,Auxiliary or Administrative,Independent professional,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,95,99
M,3.0,1.0,Technical or professional level employee,Other occupation,2.0,Level 1,2.0,No,No,No,No,Yes,No,No,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,56,60
F,2.0,2.5,Independent,Home,2.0,Level 2,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,75,83
F,,0.5,Other occupation,Operator,2.0,None,6.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,56,7
M,1.0,1.0,Independent,Home,1.0,Level 2,6.0,No,No,No,No,No,No,No,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,83,68
F,3.0,2.5,Technical or professional level employee,Technical or professional level employee,3.0,Level 2,7.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,68,77
M,3.0,3.0,Independent,Home,1.0,Level 1,5.0,No,No,No,No,No,No,No,Yes,Yes,No,2.0,1.0,yes,TECHNICAL,82,76
M,2.0,1.5,Operator,Operator,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,57,51
F,,2.0,Other occupation,Other occupation,2.0,Level 2,5.0,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,2.0,0.0,no,TECHNICAL/ACADEMIC,44,40
M,0.5,1.5,Independent,Independent,2.0,Level 1,5.0,No,No,Yes,No,No,No,No,Yes,Yes,No,1.0,0.0,yes,TECHNICAL,98,66
F,2.0,2.0,Retired,Home,2.0,None,5.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL,99,78
F,4.0,4.0,Technical or professional level employee,Technical or professional level employee,3.0,None,3.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,86,86
M,3.0,3.0,Executive,Executive,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,63,31
M,2.5,2.0,Technical or professional level employee,Home,2.0,None,4.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,96,72
M,1.0,1.0,Retired,Home,2.0,None,3.0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,2.0,0.0,no,TECHNICAL/ACADEMIC,37,5
M,1.5,1.5,Independent,Independent,2.0,Level 2,3.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,55,66
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,2.0,Level 2,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,99,63
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,77,67
F,0.5,2.0,Independent,Home,2.0,Level 2,5.0,No,Yes,No,No,Yes,No,No,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,68,65
F,3.0,2.5,Executive,Independent,3.0,None,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,yes,TECHNICAL/ACADEMIC,91,88
M,1.0,2.0,Independent,Home,3.0,None,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL,80,47
F,1.0,2.0,Other occupation,Home,3.0,None,5.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,88,36
M,3.0,3.0,Technical or professional level employee,Home,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,67,63
M,2.0,2.0,Independent,Operator,2.0,None,5.0,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL,52,32
M,3.0,3.0,Independent,Technical or professional level employee,1.0,Level 1,6.0,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,95,78
F,3.0,3.0,Technical or professional level employee,Auxiliary or Administrative,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,89,88
M,1.0,3.0,Operator,Auxiliary or Administrative,1.0,Level 1,6.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,88,65
F,3.0,3.0,Small entrepreneur ,Technical or professional level employee,3.0,Level 1,3.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,13,69
M,2.0,2.0,Independent,Home,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,42,18
F,2.0,3.0,Retired,Retired,3.0,Level 3,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,79,63
F,1.5,1.5,Independent,Home,1.0,Level 1,4.0,No,No,No,No,No,No,No,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,88,67
M,2.0,2.0,Independent,Independent,1.0,Level 1,4.0,Yes,No,No,No,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,57,42
M,,3.0,Other occupation,Technical or professional level employee,2.0,None,5.0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,1.0,0.0,no,ACADEMIC,78,78
F,3.0,2.5,Technical or professional level employee,Independent,3.0,None,3.0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,82,68
M,2.0,3.0,Independent,Technical or professional level employee,3.0,None,5.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,99,100
F,3.0,3.0,Independent,Independent,3.0,None,4.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,67,81
M,3.0,2.0,Technical or professional level employee,Home,2.0,Level 1,3.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,4.0,0.0,no,ACADEMIC,100,94
F,2.5,4.0,Independent,Technical or professional level employee,3.0,None,6.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,95,65
F,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,97,85
F,1.0,1.0,Independent,Other occupation,2.0,Level 2,3.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,83,79
F,4.0,4.0,Auxiliary or Administrative,Technical or professional level employee,2.0,None,5.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,89,81
F,3.0,3.0,Independent,Other occupation,2.0,None,5.0,No,No,Yes,No,Yes,No,No,Yes,No,Yes,3.0,0.0,yes,TECHNICAL,98,96
M,0.0,2.0,Other occupation,Small entrepreneur ,2.0,Level 2,3.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,100,91
M,2.5,2.5,Retired,Home,3.0,Level 1,7.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,3.0,0.0,yes,ACADEMIC,87,59
M,3.0,1.5,Technical or professional level employee,Home,4.0,None,5.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,ACADEMIC,94,61
F,1.5,1.0,Operator,Other occupation,2.0,Level 1,7.0,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,93,84
M,2.0,2.0,Technical or professional level employee,Technical or professional level employee,2.0,None,4.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,68,90
F,4.0,2.0,Technical or professional level employee,Small entrepreneur ,2.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,83,28
M,2.0,2.0,Independent,Independent,2.0,Level 2,3.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,76,53
M,3.0,3.0,Operator,Auxiliary or Administrative,3.0,None,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,91,90
F,2.5,4.0,Other occupation,Other occupation,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.0,0.0,yes,TECHNICAL/ACADEMIC,85,79
M,1.5,1.5,Independent,Home,3.0,Level 1,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,ACADEMIC,51,68
M,2.0,2.0,Independent,Independent,2.0,Level 1,5.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,75,35
M,3.0,3.0,Entrepreneur ,Auxiliary or Administrative,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,51,90
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,None,4.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,98,72
F,0.5,1.5,Independent,Independent,2.0,Level 1,2.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,ACADEMIC,88,33
M,1.0,2.0,Independent,Home,2.0,Level 1,6.0,No,No,No,No,No,No,No,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,99,74
M,4.0,4.0,Independent professional,Independent professional,1.0,Level 1,7.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,4.0,0.0,yes,ACADEMIC,56,52
F,2.5,2.0,Auxiliary or Administrative,Home,3.0,,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,64,66
M,2.0,2.0,Operator,Independent,3.0,None,5.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,66,86
M,2.0,2.0,Operator,Auxiliary or Administrative,2.0,Level 3,4.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,5.0,0.0,yes,TECHNICAL/ACADEMIC,95,37
M,3.0,3.0,Other occupation,Operator,3.0,,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,yes,ACADEMIC,53,49
M,3.0,3.0,Independent,Independent,3.0,None,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,5.0,0.0,yes,ACADEMIC,97,82
F,0.5,0.5,Other occupation,Home,3.0,Level 1,3.0,No,No,No,No,Yes,No,No,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,88,82
F,0.5,1.0,Other occupation,Home,3.0,None,4.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,64,65
F,2.0,2.0,Independent,Operator,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,72,36
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,1.0,Level 1,3.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,96,78
F,3.0,3.0,Technical or professional level employee,Technical or professional level employee,2.0,Level 2,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,ACADEMIC,74,70
M,3.0,3.0,Independent professional,Independent professional,3.0,Level 3,6.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,48,18
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,1.0,Level 1,5.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,99,1
M,0.5,0.5,Independent,Home,1.0,Level 1,4.0,No,Yes,No,No,No,No,Yes,Yes,No,Yes,1.0,0.0,yes,TECHNICAL,86,14
F,2.0,2.0,Independent,Home,2.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL,76,59
